species,fastqscreen_nohit_ratio,fastqscreen_grch37_ratio,fastqscreen_mm10_ratio,fastqscreen_salmon_ratio
salmon,0.08229838494749747,0.3961693584208376,0.4241884760940248,0.8530533198301441
salmon,0.07926155295477841,0.3994524272780069,0.42783735537897866,0.8561430647479319
salmon,0.08618169901063764,0.39003787979439214,0.4154760955763604,0.8505977213074581
salmon,0.11276229423015888,0.39580273058439897,0.4250605969537216,0.8189113051586755
salmon,0.0810407254929087,0.422238971868545,0.4524694332205912,0.8428941480658134
salmon,0.08621393814689626,0.4082297067598106,0.4374253674740269,0.8424111119322579
salmon,0.08269173261206254,0.3857281219733184,0.41117568031993,0.8551589161299538
salmon,0.08662405395866829,0.3940237637739696,0.4197420534592039,0.8519438866174495
salmon,0.08294717045438213,0.3907838302293161,0.4170456435283755,0.8550190224142143
salmon,0.08209712853481889,0.3931869816908046,0.4182041560865355,0.8558077593099293
salmon,0.08532415758318998,0.3770114121408033,0.3998952249983629,0.8582005290343833
salmon,0.08016707765084798,0.3742866488853103,0.3985732977706205,0.8604977102309899
salmon,0.08933391317473953,0.387813267106819,0.4127380614368326,0.8477197497097798
salmon,0.08472674542990942,0.38796681484298856,0.4133358689709273,0.8529464901228991
salmon,0.08687995380819905,0.3820403128444701,0.40725158784315785,0.850540654033909
salmon,0.08554031766114638,0.38785838548609386,0.4068276812543775,0.8589096495786358
salmon,0.0954253784235306,0.3863780185288311,0.41615197691489897,0.8358382271047435
salmon,0.09580716250599973,0.38882580938175776,0.4154336056647691,0.8399119524770462
salmon,0.08282874959503543,0.3925406157470309,0.4181745579293943,0.8533262344198522
salmon,0.08207086327206829,0.3870129696438781,0.4155201064587422,0.8500449707940605
salmon,0.0912265827845833,0.3801910469042791,0.4030627236949223,0.8490556039943543
salmon,0.07104594009678905,0.4015294436837888,0.3759188334837118,0.8054691492784988
salmon,0.0757869870334562,0.3003625840242147,0.29932743190552225,0.8549944685813549
salmon,0.07547914204668953,0.2950981663558537,0.29337393080043617,0.8584537771535136
salmon,0.07629101857021356,0.2623531836515333,0.2624523221898138,0.8717551695529896
salmon,0.07538564319546393,0.2947161957294459,0.2955577158616909,0.8574105162179987
salmon,0.07695681308256411,0.29550588022707763,0.2971641644957761,0.8586467948621421
salmon,0.07634975292967858,0.28145617736695805,0.2800982800982801,0.8567296597036373
salmon,0.07420707635925375,0.2926715285378721,0.29545296160105605,0.8632506487277557
salmon,0.07573662151747727,0.3028578064461641,0.2941566462210867,0.8487188961498263
salmon,0.07497006806145305,0.29956567229111464,0.29129439005360785,0.8523321744070241
salmon,0.07699940886175999,0.26511022403475104,0.2599839263534741,0.8627748958866077
salmon,0.07561888895179096,0.2926930262274665,0.28816245986623423,0.8566636204093846
salmon,0.07652342810240154,0.28929036412266673,0.284708758473317,0.8557926354669346
salmon,0.07639129259700049,0.3007548565440657,0.29218211388281706,0.8474616052081309
salmon,0.0757354030635959,0.2980196432232098,0.2867468118833585,0.849395866357885
salmon,0.07649364618349909,0.29095450421943464,0.2830281752840027,0.8501312632797291
salmon,0.0757763930306947,0.2987046276707126,0.28477973615995034,0.8424577415465041
salmon,0.07707385034608279,0.2748634962045286,0.2618260605294879,0.8507780460237188
salmon,0.07561165237250662,0.2885225588571151,0.2830729609562915,0.8535654413372531
salmon,0.07562661136245799,0.2620226283230467,0.2615159887402904,0.8640785433401753
salmon,0.07505693066474417,0.2972616064174305,0.28549784292858205,0.8477302115875359
salmon,0.07508814992305145,0.3025668997850635,0.2828037844401587,0.8342034688536939
salmon,0.07470009630578489,0.28730446653140224,0.2792517134014642,0.8531827659395425
salmon,0.07359599764163094,0.2878469578756361,0.2786682083836586,0.8519121679250359
salmon,0.07433548630583686,0.2873738259899425,0.2975571321214449,0.8617705577975455
salmon,0.07323021545203193,0.2462961030831029,0.25283443754673346,0.8779844192880867
salmon,0.07469378974683034,0.2968592441211665,0.3094807534587305,0.8561551286015838
salmon,0.07274481304876286,0.3054032689904888,0.3177916039812666,0.8557343328998479
salmon,0.07361601009913489,0.27777076448965954,0.2894367504548324,0.8632569710021164
salmon,0.07387846545896881,0.3021656953244693,0.3141066603022581,0.8545373357251191
salmon,0.06951198670043347,0.3338175659928841,0.3092770691235648,0.8189565433556546
salmon,0.0720887421240416,0.27964871327715785,0.25103431260912473,0.8307095953844986
salmon,0.08265288484095203,0.2721543602892455,0.2853490248048169,0.8653247015149582
salmon,0.08935952126636193,0.2648866192090545,0.2770863326057679,0.8595909268829902
salmon,0.08979666439514908,0.2641786952757951,0.2748732975311458,0.8622114698925575
salmon,0.08658386129571234,0.2641800444618032,0.2800185466704961,0.859216595135486
salmon,0.0824697586324964,0.26677848712981145,0.27736849176732675,0.8657209602690625
salmon,0.08848677130820994,0.2653052931322779,0.2808811201230534,0.8589453769940114
salmon,0.08631005402403896,0.2591730967226959,0.269734969864535,0.8607440741297734
salmon,0.0821599394996939,0.2675084219176109,0.2828994968129303,0.8633431329860896
salmon,0.08193673932710854,0.26607889660823103,0.279071573664715,0.8679873000699861
salmon,0.08372934540112092,0.2641680118985,0.2772794877840857,0.8639736334560668
salmon,0.10399351846813347,0.2454299758756417,0.2552707792953753,0.8514991565543887
salmon,0.09122412772639364,0.26588860684852034,0.2773519465308179,0.8602917394279478
salmon,0.08805627615487369,0.2617445577942369,0.271101115014166,0.8668613099180108
salmon,0.0884877790476693,0.2650025957922725,0.2735305507319569,0.8648991409859111
salmon,0.0940687305317845,0.25247112800386834,0.2672121515400272,0.8557046791188277
salmon,0.08463730103233089,0.261687469529974,0.2733333162573117,0.8637094412469594
salmon,0.090372221676191,0.24691500166149494,0.2639071809344622,0.8528954475037793
salmon,0.08530515980359503,0.2669113912177378,0.2843778243945015,0.8593973194235671
salmon,0.08361179209758574,0.2591186323122192,0.2737684009973333,0.8589517137356858
salmon,0.08783252969151555,0.2607789474205948,0.2792460498739809,0.8571304658864581
salmon,0.08544558889386476,0.26067834162208026,0.2746326631626087,0.8621651306950763
salmon,0.09152895898018226,0.2579093136541263,0.2767617893043722,0.8499072243265492
salmon,0.07049019018718265,0.434655079169546,0.5071019739807109,0.8088889222726316
salmon,0.08492056298636558,0.25809080694424663,0.27109940021206225,0.8634687567887966
salmon,0.0875247300777224,0.2503585800328207,0.2649084950559346,0.8621151297859829
salmon,0.08260677213963848,0.2915383359542265,0.3026332151041265,0.8647991358242956
salmon,0.08107054014165739,0.2927319814260868,0.30518942700211776,0.8610252207145329
salmon,0.08239741016041814,0.2862155116509194,0.30178064389447384,0.8604415180428419
salmon,0.08170081124683401,0.285096960206255,0.2982040285467831,0.8620068304080405
